Ticker       IV    IVChg    IV:HV           Rank     Pctl           HV20     HV30     HV90          Close   ChgPct     Date
NFE   210.39    -4.72     1.64          93.72       99         128.24   156.18   221.99           2.72   -11.11    08-08
CAPR   238.72    -0.81     2.37           82.3       99         100.92   153.74   154.62           9.07    12.39    08-08
OMI   125.81    -0.89     1.93           98.9       99          65.21    64.06    65.49           7.09    12.36    08-08
VKTX   142.79    -0.61     2.43          98.78       98          58.69    59.38    68.95          37.89     6.55    08-08
ATYR   396.63   -23.96     2.96          93.95       98         133.91   113.06    90.02            5.3     1.15    08-08
RXRX    156.4    72.38      2.7          64.02       98          57.92    66.24    97.82           5.36    -0.92    08-08
SGML      100    10.83     1.25          48.79       97          79.99     83.1    86.59           5.44     4.62    08-08
MNDY    80.64     6.67     2.18           77.2       96          37.02    37.78    53.67         248.04     0.26    08-08
LQDA   115.65    11.52     1.71          86.01       96          67.63    62.88    79.13          20.45     6.45    08-08
AEO    80.11    -6.89     0.85          44.35       96          94.61     81.2    75.75          12.44    -1.27    08-08
OKTA    67.17    -1.11     1.96          88.34       95          34.24    33.82    49.86          91.55    -2.17    08-08
EAT    64.46     4.16     1.69          44.85       95          38.15    35.33    53.26         151.97    -4.71    08-08
LULU    59.63     1.83     1.98          68.17       94          30.11    31.65    56.79         189.43    -0.89    08-08
BITF   359.45   207.63     4.29          51.17       94          83.76    92.53       87           1.24    -3.12    08-08
UUUU    90.96     -1.7     1.27          77.33       94          71.74    82.37    78.71           9.55    -0.52    08-08
MDB    80.15     4.29     1.52          94.41       93          52.68    48.16    56.15         209.18     -8.2    08-08
WEN    44.46     -6.3     1.12          44.73       90          39.82    36.95    37.58          10.09     1.31    08-08
SRPT   100.52    -8.99     0.51          42.28       90         197.23   165.24      155          18.23      1.5    08-08
PCG    44.11    -1.03     1.65          63.12       90          26.66     24.5    31.35             15    -0.33    08-08
EIX     50.1    13.98     2.07          54.43       90          24.16    24.67    36.27          53.77    -2.13    08-08
WDAY    46.68    -0.91     1.67          66.81       88          27.87    27.97    39.31         222.07     0.49    08-08
GPRE     94.6    -1.62     2.29          61.26       87          41.28    47.94     74.6            7.4     1.23    08-08
CRM    43.97      0.3     2.08          62.48       86          21.17    20.95    33.68         240.51    -0.15    08-08
DOW    48.32    -3.79     0.62          50.78       86           78.1    72.19    63.93          21.22     -1.8    08-08
CAH    30.99     0.08     1.86          40.28       86          16.65    18.59    24.15         157.41     2.61    08-08
BBY    47.88    -0.29     1.73          46.65       85          27.67    30.89    54.97          68.97      2.1    08-08
IOT    78.79    -0.49      1.8          75.44       85          43.76    39.03     50.3          33.74    -2.43    08-08
BTI    23.98     0.42     1.72          57.31       85          13.94    19.88    23.41          57.24     0.97    08-08
CGC   145.42     2.26     1.57          35.52       84           92.9    89.09   117.21           1.25    19.05    08-08
RUN   111.15     8.44     0.99          46.96       83            112    118.9   161.02          11.85    -1.25    08-08
ICHR    75.53     -0.5     0.54          44.06       83         140.49   121.36   112.05          17.44     4.68    08-08
FIP    72.26    -2.33     0.69          30.64       82         105.23    88.22    82.88           4.98   -20.19    08-08
CAVA    68.35     4.33     1.45          53.76       82          47.26    49.88    56.99          85.05    -4.33    08-08
TGT    48.03     -1.8     1.64          62.27       82          29.32    30.54    42.43          105.4    -0.26    08-08
CNC    44.85    -1.78     0.79          55.21       81          56.72   153.29    94.95          25.59     1.31    08-08
BHF    54.27    -5.16     1.41          62.23       81           38.5    39.95    54.73          44.52    -3.36    08-08
DOCU    54.94    -0.37     1.51          66.44       81          36.49    36.06    56.57          69.19    -1.83    08-08
MDT    23.22     0.93     1.51          35.21       81          15.41    14.56    22.23          92.88      1.8    08-08
GTLB    73.41      4.7     1.61          71.39       80          45.63       45    58.22          40.42    -2.84    08-08
UWMC    75.65     6.77     1.64          37.87       80             46    46.96    57.07           4.52     0.44    08-08
CRWD    53.46     0.47      1.8          49.69       80          29.78    33.48    48.05         424.49    -0.12    08-08
OMEX   356.11  -610.55     2.73          23.18       80         130.64   128.66   218.15           1.66    12.16    08-08
ORCL    42.88     3.07     1.47          50.32       80          29.22    32.09    46.53         250.05     0.26    08-08
CSX    27.37      2.9     1.25          27.63       80          21.94    20.87     26.4          35.43     0.51    08-08
ASAN    81.46     2.22     1.88          57.42       79          43.25    40.94    63.64          13.54    -4.18    08-08
ACN       32    -0.33     1.16          51.09       79          27.68    26.78    31.66          239.2    -1.04    08-08
TLRY   139.63     3.27     1.15          53.79       79         121.52   130.74   105.71           0.65    -0.28    08-08
ONON    57.33    -0.69     1.56          42.52       78          36.65    35.35    55.97          45.66     1.11    08-08
AMC    89.09      9.3     1.71          43.63       78          52.22    62.04    66.57           2.93     4.27    08-08
PBR    45.47   -12.54     1.35          51.78       78          33.68    31.01    38.59          12.12    -7.34    08-08
METC    85.31    -2.32     0.76          53.39       78         112.22   154.85    108.5          22.55     4.06    08-08
ROST    33.07    -0.14     1.31          59.88       78          25.17    21.72    30.81         145.22     0.05    08-08
S    62.72     0.92     1.18          57.29       77          53.11    46.78     52.2          16.03    -3.84    08-08
HIVE   161.65    46.84     2.99          13.24       77          53.99    67.01     72.7           2.07    -1.43    08-08
GPRO   155.62    -4.82     1.03           47.9       77         150.37   129.57   102.36           1.41     7.22    08-08
ZS    54.69    -1.27     2.05          59.53       77          26.67    30.54    44.47          269.7    -1.03    08-08
CSCO    27.95    -1.19     1.52          55.22       77          18.33    17.05    28.69          71.79      2.7    08-08
EL    54.05     0.71     1.62          27.67       75          33.27    38.72    56.27          90.69    -0.58    08-08
MP     73.2    -4.96     0.95          56.76       75           77.1   137.26   112.94          74.32     4.57    08-08
KTOS    57.83   -15.16     0.99           53.9       75          58.44    67.54     56.1          63.88     8.12    08-08
GAP    61.06     0.85     1.69          55.11       75          36.21    32.57    72.02           19.8    -1.49    08-08
IOVA   197.95   -502.5     1.09          13.54       74         181.67    153.6   151.62           2.11   -20.08    08-08
TIGR    90.48    16.67     1.71          29.68       74          53.03    54.91    64.73          10.01      0.1    08-08
MRVL     64.3    -0.26     1.44          41.58       74          44.59    42.13    70.15          77.34     1.96    08-08
SNOW    61.42     4.09     1.38          69.45       74          44.45    40.05    49.65         191.73    -7.11    08-08
HPQ    40.92    -0.76     1.75          39.58       73          23.41    25.26    47.38          26.11        3    08-08
OPEN    143.2    -3.81     0.52          13.35       73            273   236.32   168.42           1.95     5.41    08-08
QS    81.18    -2.48     0.58          36.15       73         140.08   134.83   117.89           8.76    -5.19    08-08
KSS    78.96    -3.48     0.54           33.3       72            145   120.95   111.06          11.12    -1.51    08-08
AXL    67.54     1.14     0.94          54.22       72          71.83    61.29    61.17           5.28    15.28    08-08
M    55.38     1.38     1.34          45.95       72          41.23    39.34    56.21          12.08    -0.25    08-08
CORZ    88.06    13.63     1.66          41.66       71          52.93    76.87    90.52          14.41     0.42    08-08
AI    74.64    -1.54     1.39          58.57       71          53.83    50.45    64.82          22.13    -2.34    08-08
B    33.92     1.52     1.47          66.21       71          23.12    26.48    38.19          23.43     1.56    08-08
NU    48.39     0.18     1.39          53.14       70          34.88    34.29    43.54           12.3    -0.89    08-08
ANF    72.97    -0.35     1.45          60.11       70          50.29    47.23    66.55         103.11    -0.24    08-08
FNKO    86.86   -21.43     0.62          38.82       69         139.81   121.52   127.06           2.46   -32.79    08-08
SE    57.87    -3.97     1.34          63.42       69          43.05    40.73    51.08         147.61    -0.84    08-08
LOW    28.19    -0.34     1.22          29.27       69          23.19    22.78    26.76         241.15     1.09    08-08
ZM    39.31    -0.77     1.77           42.6       68          22.22     22.6    28.01          71.57    -0.04    08-08
STLA    45.51     1.16     0.73          29.88       68          62.59    56.04     63.3           9.43     2.28    08-08
ELV    35.54    -0.96     0.53          62.17       68          67.34    65.88    49.06         293.99     3.71    08-08
UNH    34.75     0.18     0.72          29.09       68          48.35    47.03    69.19         250.89     2.54    08-08
TDS    53.45     2.75     1.58          44.74       67          33.84    39.44    43.15          38.75     1.25    08-08
PANW    42.94    -1.23     1.12          50.57       67          38.29    40.15    42.45         167.06    -0.62    08-08
CRDO    91.24    -0.11     1.51          45.68       66          60.47    56.14    78.93         120.41     0.53    08-08
ALB    57.79     5.63     0.78          21.56       66          73.95    71.19    71.59          75.48     7.74    08-08
HD    25.61     -1.1     1.33          26.55       66          19.22    17.84    23.14         387.85     0.44    08-08
PATH    63.57     6.51     2.31          51.11       65          27.55    29.85    39.69          10.66    -2.47    08-08
UEC    67.37    -1.13     1.55          54.06       65          43.38    55.26    69.15          10.18     3.35    08-08
REPL   118.94      6.5      0.2          10.91       65         599.31    492.3   295.29           5.29    -3.47    08-08
WOLF   191.72    -0.78     1.79          29.96       65          107.1   332.87    293.7           1.48    -1.99    08-08
HUMA   128.42     6.94     1.39          22.37       64          92.54     99.7   111.53           2.48      0.4    08-08
RH    70.48     7.96     1.18          37.03       63          59.88    56.14   117.44         215.04     0.93    08-08
AFRM     81.7    -0.25     1.37          38.58       63          59.81    56.43    81.54          72.33     -8.4    08-08
LPSN   171.63    22.77     1.43          33.88       63         119.82   110.69     92.7           1.21     5.22    08-08
SNDK    61.07    -1.17     1.15          17.51       63          52.93    46.97    79.97          44.34     8.97    08-08
WMT    26.11    -0.24     1.69          34.85       63          15.42    17.29    25.27         103.73     0.59    08-08
ADBE    38.73     4.91     1.86          57.45       63          20.83    22.24    29.89         341.05     0.82    08-08
EXE    28.51    -0.49     0.69          41.61       62          41.24    37.07    35.79          99.14    -0.87    08-08
PLUG   115.33    -2.53     1.52          45.41       62          75.95   121.97   125.83           1.51             08-08
JOBY    79.32    -0.16     0.74          46.94       62          107.7    98.85    93.21          16.64    -3.54    08-08
AVGO    47.36    -0.51     1.67          31.67       62          28.28    29.04    50.49         304.97      0.4    08-08
DG    43.69    -1.51     1.66          43.13       62          26.25    24.87    38.73         116.32      0.6    08-08
AG       59    -1.51     1.49          31.35       62          39.55    52.03    66.14           8.61    -1.37    08-08
SLB    32.99     0.98     1.08          25.23       62          30.62    33.48    47.07          32.87     0.24    08-08
NIO    74.25    -0.09     1.05          41.38       62          70.78    62.82    56.29           4.84     3.42    08-08
DKS    44.62     4.21     1.57          33.21       62          28.35    30.01    56.65         211.24    -1.81    08-08
BMNR   140.42    25.16     1.05          55.81       62         134.08   682.81   510.98          51.43    24.59    08-08
DOLE    45.93     4.18     2.01          39.47       61          22.85    20.28    25.86          14.63     0.27    08-08
SATS     72.4    -3.18     0.89          26.62       60          81.29    81.66   110.67          27.08    -0.99    08-08
CTSH    25.79     0.18     1.27          22.47       60           20.3    23.16    31.01          69.58     0.67    08-08
CHTR    37.58     0.81      0.5          27.73       60          75.02    65.52    53.24         256.57    -0.85    08-08
